iter	Passed	Remaining
261	662	1866
262	665	1864
263	667	1861
264	670	1858
265	672	1855
266	674	1852
267	677	1849
268	679	1846
269	682	1843
270	684	1841
271	686	1838
272	689	1835
273	691	1831
274	693	1828
275	695	1825
276	698	1822
277	700	1819
278	702	1816
279	705	1814
280	708	1811
281	710	1808
282	712	1806
283	715	1803
284	717	1800
285	721	1800
286	723	1798
287	726	1794
288	728	1792
289	731	1790
290	734	1788
291	736	1786
292	739	1783
293	741	1780
294	743	1777
295	746	1774
296	748	1772
297	751	1769
298	753	1767
299	756	1764
300	758	1761
301	760	1758
302	763	1755
303	766	1754
304	768	1751
305	771	1748
306	773	1745
307	775	1743
308	778	1741
309	781	1739
310	784	1737
311	786	1734
312	788	1731
313	791	1728
314	793	1726
315	796	1723
316	798	1721
317	801	1718
318	803	1715
319	805	1712
320	808	1709
321	810	1707
322	813	1705
323	815	1702
324	818	1699
325	820	1696
326	823	1693
327	825	1690
328	828	1688
329	830	1686
330	832	1683
331	835	1680
332	837	1676
333	839	1673
334	841	1670
335	843	1667
336	846	1665
337	848	1662
338	850	1659
339	853	1656
340	855	1652
341	857	1649
342	860	1647
343	862	1644
344	864	1641
345	867	1638
346	868	1635
347	871	1632
348	873	1629
349	876	1627
350	878	1624
351	881	1622
352	883	1619
353	885	1616
354	888	1613
355	890	1611
356	893	1608
357	895	1605
358	897	1602
359	900	1600
360	902	1597
361	904	1594
362	907	1592
363	909	1589
364	912	1587
365	914	1584
366	916	1581
367	919	1578
368	921	1575
369	924	1573
370	926	1570
371	928	1567
372	930	1564
373	932	1561
374	935	1558
375	937	1555
376	940	1553
377	942	1550
378	944	1547
379	946	1544
380	949	1542
381	951	1539
382	953	1536
383	956	1533
384	958	1531
385	960	1528
386	962	1525
387	965	1522
388	967	1520
389	970	1517
390	972	1515
391	974	1512
392	977	1509
393	979	1506
394	981	1503
395	984	1501
396	986	1498
397	989	1496
398	991	1493
399	994	1491
400	996	1488
401	998	1486
402	1001	1483
403	1003	1480
404	1005	1477
405	1008	1475
406	1010	1472
407	1012	1469
408	1015	1467
409	1017	1464
410	1020	1462
411	1022	1459
412	1025	1457
413	1027	1454
414	1030	1452
415	1032	1449
416	1034	1446
417	1037	1443
418	1039	1440
419	1041	1438
420	1043	1435
421	1046	1432
422	1048	1429
423	1050	1426
424	1052	1423
425	1054	1421
426	1056	1418
427	1059	1415
428	1061	1413
429	1064	1410
430	1066	1407
431	1068	1405
432	1071	1402
433	1073	1400
434	1076	1397
435	1078	1395
436	1080	1392
437	1083	1389
438	1085	1387
439	1087	1384
440	1090	1382
441	1092	1379
442	1095	1376
443	1097	1374
444	1099	1371
445	1101	1368
446	1104	1365
447	1106	1363
448	1108	1360
449	1111	1357
450	1113	1355
451	1115	1352
452	1118	1350
453	1121	1348
454	1123	1345
455	1125	1342
456	1127	1340
457	1130	1337
458	1132	1334
459	1135	1332
460	1137	1329
461	1139	1327
462	1141	1324
463	1144	1321
464	1146	1318
465	1148	1316
466	1150	1313
467	1153	1311
468	1155	1308
469	1157	1305
470	1159	1302
471	1162	1299
472	1164	1297
473	1166	1294
474	1169	1292
475	1171	1289
476	1173	1286
477	1175	1283
478	1177	1280
479	1179	1277
480	1181	1275
481	1184	1272
482	1186	1270
483	1188	1267
484	1191	1264
485	1193	1262
486	1195	1259
487	1198	1257
488	1200	1254
489	1203	1252
490	1205	1249
491	1207	1246
492	1209	1244
493	1212	1241
494	1215	1239
495	1217	1237
496	1220	1234
497	1222	1232
498	1224	1229
499	1227	1227
500	1229	1224
501	1231	1221
502	1233	1219
503	1236	1216
504	1238	1213
505	1240	1211
506	1243	1208
507	1245	1206
508	1248	1203
509	1250	1201
510	1252	1198
511	1255	1196
512	1257	1193
513	1259	1191
514	1261	1188
515	1264	1185
516	1266	1183
517	1269	1181
518	1271	1178
519	1274	1176
520	1276	1173
521	1278	1170
522	1280	1168
523	1283	1165
524	1285	1163
525	1287	1160
526	1289	1157
527	1292	1155
528	1294	1152
529	1296	1149
530	1299	1147
531	1301	1145
532	1304	1142
533	1306	1140
534	1309	1137
535	1311	1135
536	1314	1132
537	1316	1130
538	1318	1127
539	1321	1125
540	1323	1122
541	1325	1120
542	1328	1117
543	1330	1115
544	1332	1112
545	1335	1110
546	1337	1107
547	1339	1104
548	1341	1102
549	1344	1099
550	1346	1097
551	1348	1094
552	1351	1092
553	1353	1089
554	1355	1087
555	1357	1084
556	1359	1081
557	1362	1079
558	1364	1076
559	1366	1074
560	1369	1071
561	1371	1068
562	1373	1066
563	1375	1063
564	1378	1061
565	1380	1058
566	1383	1056
567	1385	1053
568	1387	1050
569	1389	1048
570	1391	1045
571	1394	1043
572	1396	1040
573	1398	1038
574	1401	1035
575	1403	1033
576	1405	1030
577	1407	1027
578	1410	1025
579	1412	1022
580	1414	1020
581	1416	1017
582	1419	1015
583	1421	1012
584	1423	1009
585	1426	1007
586	1428	1005
587	1430	1002
588	1432	999
589	1435	997
590	1437	994
591	1439	992
592	1441	989
593	1444	987
594	1446	984
595	1448	982
596	1451	979
597	1453	976
598	1455	974
599	1458	972
600	1460	969
601	1463	967
602	1465	965
603	1467	962
604	1469	959
605	1472	957
606	1474	954
607	1476	952
608	1479	949
609	1481	947
610	1483	944
611	1485	941
612	1488	939
613	1490	937
614	1493	934
615	1495	932
616	1497	929
617	1499	927
618	1502	924
619	1504	922
620	1507	919
621	1509	917
622	1511	914
623	1513	912
624	1515	909
625	1517	906
626	1520	904
627	1522	902
628	1525	899
629	1527	897
630	1529	894
631	1532	892
632	1534	889
633	1537	887
634	1539	885
635	1542	882
636	1544	879
637	1546	877
638	1548	874
639	1550	872
640	1553	869
641	1555	867
642	1558	865
643	1560	862
644	1562	859
645	1564	857
646	1567	854
647	1569	852
648	1571	849
649	1573	847
650	1575	844
651	1578	842
652	1580	839
653	1582	837
654	1584	834
655	1586	832
656	1589	829
657	1591	827
658	1593	824
659	1596	822
660	1598	819
661	1600	817
662	1602	814
663	1605	812
664	1607	809
665	1610	807
666	1612	804
667	1614	802
668	1616	799
669	1618	797
670	1621	794
671	1623	792
672	1625	789
673	1628	787
674	1630	784
675	1632	782
676	1634	779
677	1636	777
678	1639	775
679	1642	772
680	1644	770
681	1646	767
682	1648	765
683	1650	762
684	1653	760
685	1655	757
686	1658	755
687	1660	752
688	1662	750
689	1664	747
690	1667	745
691	1669	743
692	1672	741
693	1675	738
694	1678	736
695	1680	733
696	1682	731
697	1685	729
698	1687	726
699	1690	724
700	1692	722
701	1694	719
702	1697	717
703	1699	714
704	1702	712
705	1705	710
706	1707	707
707	1709	705
708	1712	702
709	1714	700
710	1717	698
711	1719	695
712	1722	693
713	1724	690
714	1727	688
715	1729	686
716	1731	683
717	1734	681
718	1737	678
719	1739	676
720	1742	674
721	1744	671
722	1746	669
723	1749	667
724	1752	664
725	1754	662
726	1756	659
727	1758	657
728	1761	654
729	1763	652
730	1765	649
731	1768	647
732	1770	644
733	1773	642
734	1775	640
735	1777	637
736	1780	635
737	1782	632
738	1785	630
739	1787	628
740	1790	625
741	1792	623
742	1795	620
743	1797	618
744	1800	616
745	1802	613
746	1805	611
747	1807	608
748	1810	606
749	1812	604
750	1814	601
751	1817	599
752	1819	596
753	1822	594
754	1824	592
755	1826	589
756	1829	587
757	1831	584
758	1834	582
759	1836	579
760	1838	577
761	1841	575
762	1843	572
763	1846	570
764	1848	567
765	1851	565
766	1853	563
767	1856	560
768	1858	558
769	1860	555
770	1863	553
771	1865	551
772	1868	548
773	1870	546
774	1872	543
775	1875	541
776	1877	538
777	1879	536
778	1882	534
779	1884	531
780	1887	529
781	1889	526
782	1891	524
783	1893	521
784	1896	519
785	1899	517
786	1901	514
