iter	RMSE
129	6.004062817
130	6.003157551
131	6.002251282
132	6.001509064
133	6.000576956
134	5.999822272
135	5.999116734
136	5.998086407
137	5.99753748
138	5.996666572
139	5.995847528
140	5.995156472
141	5.994086529
142	5.993347294
143	5.992434271
144	5.991478603
145	5.990961515
146	5.990170615
147	5.989371216
148	5.98872751
149	5.987640411
150	5.986584959
151	5.985949743
152	5.984631321
153	5.983839031
154	5.983209487
155	5.982165498
156	5.981418404
157	5.980693992
158	5.979712285
159	5.978841059
160	5.978160876
161	5.977197607
162	5.976596599
163	5.975564562
164	5.974849089
165	5.974302468
166	5.973815659
167	5.973036869
168	5.972381013
169	5.97176429
170	5.970967679
171	5.970233947
172	5.96962848
173	5.969148594
174	5.968295214
175	5.967606149
176	5.967134981
177	5.966430692
178	5.965862932
179	5.965190226
180	5.96419216
181	5.963641984
182	5.962991936
183	5.962648567
184	5.962141124
185	5.961374526
186	5.960819415
187	5.960415922
188	5.960017597
189	5.959135825
190	5.958376045
191	5.957435449
192	5.956712969
193	5.956201759
194	5.955501254
195	5.954420486
196	5.953817238
197	5.953371401
198	5.952703435
199	5.951832778
200	5.951545085
201	5.951132214
202	5.95035338
203	5.949953632
204	5.949222407
205	5.948143172
206	5.947879387
207	5.947236962
208	5.946330554
209	5.945701148
210	5.944871822
211	5.944447018
212	5.943715997
213	5.9428925
214	5.942666429
215	5.942200688
216	5.941489712
217	5.940889498
218	5.940262665
219	5.939717616
220	5.939110169
221	5.938231894
222	5.937639036
223	5.937253957
224	5.936886251
225	5.936247309
226	5.935576756
227	5.934888341
228	5.934564313
229	5.934192142
230	5.933588953
231	5.933107403
232	5.932628313
233	5.931893917
234	5.931496925
235	5.931156517
236	5.930807396
237	5.93020096
238	5.92959697
239	5.929188726
240	5.928689604
241	5.928197218
242	5.926945698
243	5.926215045
244	5.925955842
245	5.925297362
246	5.92502928
247	5.924719947
248	5.924159139
249	5.923721898
250	5.922524334
251	5.92226311
252	5.921618086
253	5.921062051
254	5.920776943
255	5.920390152
256	5.92003872
257	5.919452955
258	5.919045368
259	5.918566026
260	5.918171014
261	5.917393342
262	5.91654765
263	5.916011178
264	5.915483645
265	5.914906588
266	5.914363573
267	5.913712256
268	5.913402281
269	5.912861601
270	5.91245904
271	5.911828154
272	5.911163063
273	5.910523259
274	5.909840581
275	5.908993484
276	5.908654734
277	5.90801584
278	5.907473817
279	5.906929766
280	5.906647919
281	5.905928128
282	5.905518861
283	5.905322639
284	5.904591645
285	5.903837741
286	5.90339706
287	5.902806972
288	5.902432194
289	5.901770456
290	5.901496032
291	5.900896513
292	5.900560233
293	5.900173104
294	5.899585136
295	5.898954911
296	5.898387187
297	5.897881826
298	5.897671059
299	5.896970404
300	5.896007874
301	5.895774019
302	5.895113359
303	5.894837035
304	5.894613082
305	5.894210301
306	5.893718189
307	5.892766031
308	5.892062613
309	5.89122345
310	5.890876202
311	5.889780409
312	5.889424763
313	5.888714088
314	5.888517311
315	5.887426155
316	5.886781408
317	5.886169356
318	5.885560855
319	5.885090651
320	5.884581676
321	5.884304418
322	5.883743657
323	5.882731441
324	5.882190829
325	5.881658296
326	5.881207563
327	5.880777461
328	5.880269898
329	5.880071086
330	5.879769018
331	5.879101032
332	5.878963932
333	5.878503244
334	5.878079411
335	5.87777645
336	5.877255134
337	5.876677007
338	5.876315361
339	5.875574154
340	5.874947474
341	5.874133401
342	5.873481049
343	5.87315922
344	5.872582337
345	5.872331339
346	5.871284254
347	5.871043932
348	5.870104888
349	5.869691829
350	5.869305142
351	5.868759647
352	5.867932329
353	5.867703534
354	5.867262088
355	5.866705496
356	5.866186328
357	5.865979003
358	5.865410223
359	5.865219603
360	5.864674062
361	5.864589648
362	5.864139688
363	5.864001267
364	5.863362954
365	5.863125757
366	5.862613509
367	5.86179831
368	5.861302452
369	5.861147578
370	5.860747124
371	5.86018351
372	5.859468293
373	5.859270488
374	5.858883877
375	5.858193517
376	5.858022701
377	5.857489715
378	5.856786027
379	5.856072795
380	5.855697995
381	5.854766753
382	5.854705278
383	5.853709894
384	5.853069682
385	5.852586451
386	5.85226544
387	5.851736245
388	5.850663175
389	5.849949387
390	5.849406489
391	5.848966468
392	5.848142387
393	5.847582329
394	5.847000838
395	5.846621906
396	5.846030494
397	5.84503725
398	5.844578999
399	5.844018328
400	5.843287917
401	5.842718801
402	5.842092794
403	5.841702294
404	5.841389829
405	5.840766502
406	5.840623934
407	5.839839227
408	5.839259385
409	5.838670503
410	5.838279524
411	5.837501876
412	5.837073753
413	5.83668457
414	5.836123908
415	5.835703485
416	5.835142805
417	5.834284387
418	5.833702019
419	5.8332732
420	5.83252248
421	5.831915805
422	5.831221868
423	5.830562923
424	5.829762079
425	5.829663113
426	5.829422113
427	5.82875817
428	5.828010695
429	5.827064792
430	5.826421454
431	5.82579262
432	5.825229905
433	5.824818234
434	5.823920447
435	5.823633346
436	5.823534517
437	5.822961289
438	5.822447521
439	5.821957622
440	5.821691237
441	5.821352688
442	5.821258982
443	5.820640045
444	5.819467404
445	5.818786751
446	5.817965053
447	5.81736149
448	5.816728965
449	5.816104778
450	5.81545844
451	5.815084272
452	5.814938923
453	5.814840158
454	5.814532575
455	5.81388854
456	5.81334451
